"Index";"eonia";"inf";"og"
"1999 Q1";3.0537;0.8;-2.2097
"1999 Q2";2.6086;0.9667;-1.9368
"1999 Q3";2.4658;1.1;-1.1501
"1999 Q4";2.8314;1.4667;0.1748
"2000 Q1";3.2835;1.9333;0.2571
"2000 Q2";3.9847;1.8667;1.707
"2000 Q3";4.4388;2.2;1.9874
"2000 Q4";4.8052;2.4667;2.7937
"2001 Q1";4.8386;2.0667;2.4589
"2001 Q2";4.7408;2.9;1.291
"2001 Q3";4.3408;2.3333;0.3477
"2001 Q4";3.6286;2.1333;-1.0923
"2002 Q1";3.2806;2.5333;-0.5921
"2002 Q2";3.3243;2.1333;-0.4987
"2002 Q3";3.3041;2.0667;-0.651
"2002 Q4";3.2373;2.3;-1.0607
"2003 Q1";2.7668;2.3;-0.9354
"2003 Q2";2.4418;1.9667;-2.1588
"2003 Q3";2.0655;2;-2.4992
"2003 Q4";2.0155;2.0667;-1.3868
"2004 Q1";2.0189;1.7;-1.2005
"2004 Q2";2.0395;2.3;-0.8072
"2004 Q3";2.0533;2.2667;-1.4774
"2004 Q4";2.0824;2.3;-1.8289
"2005 Q1";2.0642;2.0667;-2.197
"2005 Q2";2.0692;2.0333;-1.3616
"2005 Q3";2.0758;2.3;-0.8786
"2005 Q4";2.142;2.3667;-0.0827
"2006 Q1";2.402;2.3333;-0.1015
"2006 Q2";2.6347;2.4667;1.7446
"2006 Q3";2.9418;2.1667;2.4371
"2006 Q4";3.3627;1.8;3.6
"2007 Q1";3.6091;1.8333;4.4615
"2007 Q2";3.8553;1.9;5.0471
"2007 Q3";4.0469;1.8667;6.2917
"2007 Q4";3.9507;2.9;6.5914
"2008 Q1";4.0451;3.3667;7.7414
"2008 Q2";4.0008;3.6667;6.7937
"2008 Q3";4.2527;3.8333;5.517
"2008 Q4";3.173;2.3;-0.5626
"2009 Q1";1.374;0.9667;-8.6141
"2009 Q2";0.7716;0.1667;-9.2388
"2009 Q3";0.3562;-0.3667;-7.225
"2009 Q4";0.3585;0.4333;-6.3033
"2010 Q1";0.3443;1.1;-4.7121
"2010 Q2";0.3505;1.6;-1.5567
"2010 Q3";0.4534;1.7333;-1.1269
"2010 Q4";0.5943;2;0.7259
"2011 Q1";0.6739;2.4667;1.9364
"2011 Q2";1.0447;2.7333;1.9191
"2011 Q3";0.9727;2.7;2.4824
"2011 Q4";0.7922;2.9333;1.4338
"2012 Q1";0.3675;2.7;0.0812
"2012 Q2";0.3378;2.4667;-0.2343
"2012 Q3";0.1319;2.5333;0.2933
"2012 Q4";0.0814;2.3;-1.7982
"2013 Q1";0.0679;1.8667;-2.3104
"2013 Q2";0.0818;1.4;-1.3584
"2013 Q3";0.0853;1.3333;-0.9859
"2013 Q4";0.1201;0.8;-0.785
"2014 Q1";0.1822;0.6667;-0.4879
"2014 Q2";0.1916;0.5667;-0.6616
"2014 Q3";0.023;0.3667;-1.1181
"2014 Q4";-0.0151;0.1667;-1.5852
"2015 Q1";-0.0459;-0.3333;-0.2607
"2015 Q2";-0.1002;0.4333;0.2302
"2015 Q3";-0.1248;0.3667;0.2047
"2015 Q4";-0.1579;0.2333;-0.1762
"2016 Q1";-0.2559;0.0667;0.5341
"2016 Q2";-0.3361;-0.1333;-0.251
"2016 Q3";-0.337;0.2667;-0.0794
"2016 Q4";-0.3486;0.7333;0.6427
"2017 Q1";-0.3526;1.7333;0.1144
"2017 Q2";-0.3582;1.5333;0.6227
"2017 Q3";-0.3578;1.4667;1.6957
"2017 Q4";-0.3505;1.4;3.2628
"2018 Q1";-0.3636;1.2667;1.1006
"2018 Q2";-0.3633;1.7333;1.0682
"2018 Q3";-0.3617;2.1333;0.8209
"2018 Q4";-0.3628;1.9;0.2283
"2019 Q1";-0.3673;1.4333;0.6218
"2019 Q2";-0.3651;1.4;-0.5744
"2019 Q3";-0.3765;0.9333;-1.1038
"2019 Q4";-0.4575;1;-2.045
