"Index";"eonia";"hicp";"inf";"ipi"
"1999 Q1";3.0537;73.95;0.8;91.5
"1999 Q2";2.6086;74.4333;0.9667;94.9
"1999 Q3";2.4658;74.6533;1.1;90.1
"1999 Q4";2.8314;74.89;1.4667;99.3
"2000 Q1";3.2835;75.3667;1.9333;95.7
"2000 Q2";3.9847;75.8233;1.8667;100.4
"2000 Q3";4.4388;76.28;2.2;94.8
"2000 Q4";4.8052;76.72;2.4667;103.8
"2001 Q1";4.8386;76.92;2.0667;99.7
"2001 Q2";4.7408;78.0133;2.9;101.8
"2001 Q3";4.3408;78.06;2.3333;94.9
"2001 Q4";3.6286;78.3233;2.1333;101.4
"2002 Q1";3.2806;78.8667;2.5333;98.3
"2002 Q2";3.3243;79.6467;2.1333;101.6
"2002 Q3";3.3041;79.69;2.0667;95.5
"2002 Q4";3.2373;80.12;2.3;103
"2003 Q1";2.7668;80.6667;2.3;99.5
"2003 Q2";2.4418;81.2033;1.9667;101.5
"2003 Q3";2.0655;81.3067;2;95.3
"2003 Q4";2.0155;81.77;2.0667;104.3
"2004 Q1";2.0189;82.05;1.7;100.8
"2004 Q2";2.0395;83.0667;2.3;104.6
"2004 Q3";2.0533;83.1433;2.2667;98
"2004 Q4";2.0824;83.6567;2.3;105.5
"2005 Q1";2.0642;83.73;2.0667;101.3
"2005 Q2";2.0692;84.75;2.0333;105.6
"2005 Q3";2.0758;85.06;2.3;100.2
"2005 Q4";2.142;85.61;2.3667;108.8
"2006 Q1";2.402;85.6767;2.3333;104.7
"2006 Q2";2.6347;86.8367;2.4667;110
"2006 Q3";2.9418;86.9033;2.1667;104.6
"2006 Q4";3.3627;87.1333;1.8;113.5
"2007 Q1";3.6091;87.28;1.8333;110
"2007 Q2";3.8553;88.48;1.9;113.6
"2007 Q3";4.0469;88.54;1.8667;108.5
"2007 Q4";3.9507;89.65;2.9;116.1
"2008 Q1";4.0451;90.2067;3.3667;112.6
"2008 Q2";4.0008;91.6867;3.6667;114
"2008 Q3";4.2527;91.94;3.8333;106.1
"2008 Q4";3.173;91.7;2.3;106
"2009 Q1";1.374;91.07;0.9667;93.6
"2009 Q2";0.7716;91.8433;0.1667;95
"2009 Q3";0.3562;91.5933;-0.3667;91.6
"2009 Q4";0.3585;92.09;0.4333;97.9
"2010 Q1";0.3443;92.0967;1.1;95.2
"2010 Q2";0.3505;93.3167;1.6;100.6
"2010 Q3";0.4534;93.1733;1.7333;95.9
"2010 Q4";0.5943;93.9533;2;103.3
"2011 Q1";0.6739;94.37;2.4667;100.1
"2011 Q2";1.0447;95.8833;2.7333;102.7
"2011 Q3";0.9727;95.6833;2.7;98.5
"2011 Q4";0.7922;96.7133;2.9333;102.9
"2012 Q1";0.3675;96.9067;2.7;97.2
"2012 Q2";0.3378;98.2433;2.4667;99.6
"2012 Q3";0.1319;98.12;2.5333;95.9
"2012 Q4";0.0814;98.94;2.3;99.1
"2013 Q1";0.0679;98.7067;1.8667;94.5
"2013 Q2";0.0818;99.62;1.4;98.2
"2013 Q3";0.0853;99.44;1.3333;94.7
"2013 Q4";0.1201;99.7433;0.8;100.3
"2014 Q1";0.1822;99.3467;0.6667;96.6
"2014 Q2";0.1916;100.1833;0.5667;99.3
"2014 Q3";0.023;99.79;0.3667;95.2
"2014 Q4";-0.0151;99.9067;0.1667;100.4
"2015 Q1";-0.0459;99.03;-0.3333;97.8
"2015 Q2";-0.1002;100.62;0.4333;101.2
"2015 Q3";-0.1248;100.1833;0.3667;97.7
"2015 Q4";-0.1579;100.1633;0.2333;103.4
"2016 Q1";-0.2559;99.0833;0.0667;100
"2016 Q2";-0.3361;100.51;-0.1333;102.1
"2016 Q3";-0.337;100.4467;0.2667;99
"2016 Q4";-0.3486;100.8967;0.7333;106.2
"2017 Q1";-0.3526;100.8033;1.7333;101.2
"2017 Q2";-0.3582;102.0433;1.5333;104.6
"2017 Q3";-0.3578;101.9333;1.4667;102.5
"2017 Q4";-0.3505;102.3233;1.4;111
"2018 Q1";-0.3636;102.0833;1.2667;103.9
"2018 Q2";-0.3633;103.7933;1.7333;106.7
"2018 Q3";-0.3617;104.0933;2.1333;103.2
"2018 Q4";-0.3628;104.2767;1.9;109.3
"2019 Q1";-0.3673;103.54;1.4333;105
"2019 Q2";-0.3651;105.25;1.4;106.5
"2019 Q3";-0.3765;105.0867;0.9333;102.7
"2019 Q4";-0.4575;105.3233;1;108.3
